"Symbol","Companies","Sector","Industry"
"AAOI","Applied Optoelectronics Inc.","Technology","Semiconductors"
"AAPL","Apple Inc.","Technology","Computer Manufacturing"
"AAVL","Avalanche Biotechnologies Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"ABAX","ABAXIS Inc.","Capital Goods","Industrial Machinery/Components"
"ABCB","Ameris Bancorp","Finance","Major Banks"
"ABCO","The Advisory Board Company","Consumer Services","Other Consumer Services"
"ABDC","Alcentra Capital Corp.","Others","Others"
"ABGB","Abengoa S.A.","Consumer Services","Military/Government/Technical"
"ABTL","Autobytel Inc.","Technology","Computer Software: Programming/ Data Processing"
"ABY","Abengoa Yield plc","Public Utilities","Electric Utilities: Central"
"ACAD","ACADIA Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"ACAS","American Capital Ltd.","Others","Others"
"ACAT","Arctic Cat Inc.","Capital Goods","Industrial Specialties"
"ACHN","Achillion Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"ACLS","Axcelis Technologies Inc.","Technology","Industrial Machinery/Components"
"ACOR","Acorda Therapeutics Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"ACPW","Active Power Inc.","Public Utilities","Electric Utilities: Central"
"ACRX","AcelRx Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"ACSF","American Capital Senior Floating Ltd.","Others","Others"
"ACTS","Actions Semiconductor Co. Ltd.","Technology","Semiconductors"
"ADBE","Adobe Systems Incorporated","Technology","Computer Software: Prepackaged Software"
"ADHD","Alcobra Ltd.","Health Care","Major Pharmaceuticals"
"ADMS","Adamas Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"ADNC","Audience Inc.","Technology","Semiconductors"
"ADTN","ADTRAN Inc.","Public Utilities","Telecommunications Equipment"
"ADUS","Addus HomeCare Corporation","Health Care","Medical/Nursing Services"
"ADVS","Advent Software Inc.","Technology","EDP Services"
"AEGR","Aegerion Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"AEHR","Aehr Test Systems","Capital Goods","Electrical Products"
"AEIS","Advanced Energy Industries Inc.","Capital Goods","Industrial Machinery/Components"
"AEPI","AEP Industries Inc.","Capital Goods","Specialty Chemicals"
"AERI","Aerie Pharmaceuticals Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"AFCB","Athens Bancshares Corporation","Finance","Savings Institutions"
"AFFX","Affymetrix Inc.","Capital Goods","Biotechnology: Laboratory Analytical Instruments"
"AFH","Atlas Financial Holdings Inc.","Finance","Property-Casualty Insurers"
"AFMD","Affimed N.V.","Others","Others"
"AFOP","Alliance Fiber Optic Products Inc.","Technology","Semiconductors"
"AGEN","Agenus Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"AGIO","Agios Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"AGNC","American Capital Agency Corp.","Consumer Services","Real Estate Investment Trusts"
"AGRX","Agile Therapeutics Inc.","Health Care","Major Pharmaceuticals"
"AGTC","Applied Genetic Technologies Corporation","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"AHGP","Alliance Holdings GP L.P.","Energy","Coal Mining"
"AHPI","Allied Healthcare Products Inc.","Health Care","Industrial Specialties"
"AIMC","Altra Industrial Motion Corp.","Capital Goods","Industrial Machinery/Components"
"AINV","Apollo Investment Corporation","Others","Others"
"AIQ","Alliance HealthCare Services Inc.","Health Care","Medical Specialities"
"AKAM","Akamai Technologies Inc.","Miscellaneous","Business Services"
"AKAO","Achaogen Inc.","Health Care","Major Pharmaceuticals"
"AKBA","Akebia Therapeutics Inc.","Health Care","Major Pharmaceuticals"
"AKER","Akers Biosciences Inc","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances"
"ALDR","Alder BioPharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"ALDX","Aldeyra Therapeutics Inc.","Health Care","Major Pharmaceuticals"
"ALGN","Align Technology Inc.","Health Care","Industrial Specialties"
"ALGT","Allegiant Travel Company","Transportation","Air Freight/Delivery Services"
"ALIM","Alimera Sciences Inc.","Health Care","Major Pharmaceuticals"
"ALKS","Alkermes plc","Health Care","Major Pharmaceuticals"
"ALLT","Allot Communications Ltd.","Technology","Computer Communications Equipment"
"ALNY","Alnylam Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"ALOG","Analogic Corporation","Capital Goods","Electrical Products"
"ALOT","Astro-Med Inc.","Technology","Computer peripheral equipment"
"ALSK","Alaska Communications Systems Group Inc.","Public Utilities","Telecommunications Equipment"
"ALTR","Altera Corporation","Technology","Semiconductors"
"ALXA","Alexza Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"ALXN","Alexion Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"AMAT","Applied Materials Inc.","Technology","Semiconductors"
"AMBA","Ambarella Inc.","Technology","Semiconductors"
"AMBI","Ambit Biosciences Corporation","Health Care","Major Pharmaceuticals"
"AMCC","Applied Micro Circuits Corporation","Technology","Semiconductors"
"AMCF","Andatee China Marine Fuel Services Corporation","Energy","Oil Refining/Marketing"
"AMCN","AirMedia Group Inc","Technology","Advertising"
"AMDA","Amedica Corporation","Health Care","Medical/Dental Instruments"
"AMGN","Amgen Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"AMKR","Amkor Technology Inc.","Technology","Semiconductors"
"AMPH","Amphastar Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"AMRI","Albany Molecular Research Inc.","Health Care","Biotechnology: Commercial Physical & Biological Resarch"
"AMRS","Amyris Inc.","Basic Industries","Major Chemicals"
"AMSC","American Superconductor Corporation","Consumer Durables","Metal Fabrications"
"AMSF","AMERISAFE Inc.","Finance","Property-Casualty Insurers"
"AMWD","American Woodmark Corporation","Basic Industries","Forest Products"
"AMZN","Amazon.com Inc.","Consumer Services","Catalog/Specialty Distribution"
"ANAC","Anacor Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"ANAD","ANADIGICS Inc.","Technology","Semiconductors"
"ANCB","Anchor Bancorp","Finance","Banks"
"ANGI","Angie&#39;s List Inc.","Consumer Services","Advertising"
"ANGO","AngioDynamics Inc.","Health Care","Medical/Dental Instruments"
"ANSS","ANSYS Inc.","Technology","Computer Software: Prepackaged Software"
"ANTH","Anthera Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"AOSL","Alpha and Omega Semiconductor Limited","Technology","Semiconductors"
"APEI","American Public Education Inc.","Consumer Services","Other Consumer Services"
"APOL","Apollo Education Group Inc.","Consumer Services","Other Consumer Services"
"AQU","Aquasition Corp.","Finance","Business Services"
"AQXP","Aquinox Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"ARAY","Accuray Incorporated","Health Care","Medical/Dental Instruments"
"ARCC","Ares Capital Corporation","Others","Others"
"ARCP","American Realty Capital Properties Inc.","Consumer Services","Real Estate Investment Trusts"
"ARDM","Aradigm Corporation","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus"
"ARDX","Ardelyx Inc.","Health Care","Major Pharmaceuticals"
"AREX","Approach Resources Inc.","Energy","Oil & Gas Production"
"ARGS","Argos Therapeutics Inc.","Health Care","Major Pharmaceuticals"
"ARIA","ARIAD Pharmaceuticals Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"ARII","American Railcar Industries Inc.","Capital Goods","Railroads"
"ARIS","ARI Network Services Inc.","Technology","Computer Software: Programming/ Data Processing"
"ARLP","Alliance Resource Partners L.P.","Energy","Coal Mining"
"ARNA","Arena Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"ARQL","ArQule Inc.","Health Care","Major Pharmaceuticals"
"ARRY","Array BioPharma Inc.","Health Care","Major Pharmaceuticals"
"ARTX","Arotech Corporation","Miscellaneous","Industrial Machinery/Components"
"ARUN","Aruba Networks Inc.","Technology","Computer peripheral equipment"
"ASBB","ASB Bancorp Inc.","Finance","Savings Institutions"
"ASFI","Asta Funding Inc.","Finance","Finance Companies"
"ASML","ASML Holding N.V.","Technology","Industrial Machinery/Components"
"ASPX","Auspex Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"ASTE","Astec Industries Inc.","Capital Goods","Construction/Ag Equipment/Trucks"
"ASTM","Aastrom Biosciences Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"ATAI","ATA Inc.","Consumer Services","Other Consumer Services"
"ATEA","Astea International Inc.","Technology","Computer Software: Prepackaged Software"
"ATEC","Alphatec Holdings Inc.","Health Care","Medical/Dental Instruments"
"ATHN","athenahealth Inc.","Miscellaneous","Business Services"
"ATLC","Atlanticus Holdings Corporation","Finance","Finance: Consumer Services"
"ATML","Atmel Corporation","Technology","Semiconductors"
"ATOS","Atossa Genetics Inc.","Health Care","Medical/Dental Instruments"
"ATRC","AtriCure Inc.","Health Care","Medical/Dental Instruments"
"ATRM","Aetrium Incorporated","Capital Goods","Electrical Products"
"AUDC","AudioCodes Ltd.","Public Utilities","Telecommunications Equipment"
"AUMAU","AR Capital Acquisition Corp.","Others","Others"
"AUXL","Auxilium Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"AVAV","AeroVironment Inc.","Capital Goods","Aerospace"
"AVEO","AVEO Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"AVGO","Avago Technologies Limited","Technology","Semiconductors"
"AWAY","HomeAway Inc.","Technology","EDP Services"
"AWRE","Aware Inc.","Technology","Semiconductors"
"AXTI","AXT Inc","Technology","Semiconductors"
"AZPN","Aspen Technology Inc.","Technology","EDP Services"
"BABY","Natus Medical Incorporated","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus"
"BAMM","Books-A-Million Inc.","Consumer Services","Other Specialty Stores"
"BANF","BancFirst Corporation","Finance","Major Banks"
"BANX","StoneCastle Financial Corp","Others","Others"
"BASI","Bioanalytical Systems Inc.","Health Care","Biotechnology: Commercial Physical & Biological Resarch"
"BBBY","Bed Bath & Beyond Inc.","Consumer Services","Home Furnishings"
"BBEP","BreitBurn Energy Partners L.P.","Energy","Oil & Gas Production"
"BBGI","Beasley Broadcast Group Inc.","Consumer Services","Broadcasting"
"BBRG","Bravo Brio Restaurant Group Inc.","Consumer Services","Restaurants"
"BBSI","Barrett Business Services Inc.","Technology","Professional Services"
"BCBP","BCB Bancorp Inc. (NJ)","Finance","Savings Institutions"
"BCOV","Brightcove Inc.","Technology","EDP Services"
"BCRX","BioCryst Pharmaceuticals Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"BDCV","BDCA Venture Inc.","Others","Others"
"BDMS","Birner Dental Management Services Inc.","Health Care","Medical/Nursing Services"
"BEAT","BioTelemetry Inc.","Health Care","Medical/Dental Instruments"
"BEAV","B/E Aerospace Inc.","Consumer Durables","Industrial Specialties"
"BEBE","bebe stores inc.","Consumer Non-Durables","Apparel"
"BECN","Beacon Roofing Supply Inc.","Consumer Services","RETAIL: Building Materials"
"BGFV","Big 5 Sporting Goods Corporation","Consumer Services","Other Specialty Stores"
"BGMD","BG Medicine Inc.","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances"
"BHBK","Blue Hills Bancorp Inc.","Finance","Major Banks"
"BIDU","Baidu Inc.","Technology","Computer Software: Programming/ Data Processing"
"BIND","BIND Therapeutics Inc.","Health Care","Major Pharmaceuticals"
"BIOC","Biocept Inc.","Health Care","Medical Specialities"
"BIOD","Biodel Inc.","Health Care","Major Pharmaceuticals"
"BIOF","BioFuel Energy Corp.","Basic Industries","Major Chemicals"
"BKCC","BlackRock Kelso Capital Corporation","Others","Others"
"BKEP","Blueknight Energy Partners L.P. L.L.C.","Energy","Natural Gas Distribution"
"BLDR","Builders FirstSource Inc.","Consumer Services","RETAIL: Building Materials"
"BLKB","Blackbaud Inc.","Technology","Computer Software: Prepackaged Software"
"BLMN","Bloomin&#39; Brands Inc.","Consumer Services","Restaurants"
"BLMT","BSB Bancorp Inc.","Finance","Major Banks"
"BLUE","bluebird bio Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"BLVD","Boulevard Acquisition Corp.","Finance","Business Services"
"BLVDU","Boulevard Acquisition Corp.","Finance","Business Services"
"BLVDW","Boulevard Acquisition Corp.","Finance","Business Services"
"BMRN","BioMarin Pharmaceutical Inc.","Health Care","Major Pharmaceuticals"
"BNFT","Benefitfocus Inc.","Technology","Computer Software: Prepackaged Software"
"BOFI","BofI Holding Inc.","Finance","Savings Institutions"
"BONA","Bona Film Group Limited","Consumer Services","Movies/Entertainment"
"BONT","The Bon-Ton Stores Inc.","Consumer Services","Department/Specialty Retail Stores"
"BRCD","Brocade Communications Systems Inc.","Technology","Computer Communications Equipment"
"BRCM","Broadcom Corporation","Technology","Semiconductors"
"BRDR","Borderfree Inc.","Miscellaneous","Business Services"
"BRKS","Brooks Automation Inc.","Technology","Industrial Machinery/Components"
"BSFT","BroadSoft Inc.","Technology","Computer Software: Prepackaged Software"
"BSQR","BSQUARE Corporation","Miscellaneous","Business Services"
"BTUI","BTU International Inc.","Technology","Industrial Machinery/Components"
"BV","Bazaarvoice Inc.","Technology","Computer Software: Prepackaged Software"
"BVSN","BroadVision Inc.","Technology","Computer Software: Prepackaged Software"
"BWFG","Bankwell Financial Group Inc.","Finance","Major Banks"
"BWLD","Buffalo Wild Wings Inc.","Consumer Services","Restaurants"
"CACC","Credit Acceptance Corporation","Finance","Finance: Consumer Services"
"CACG","Chart Acquisition Corp.","Finance","Business Services"
"CACGU","Chart Acquisition Corp.","Finance","Business Services"
"CACGW","Chart Acquisition Corp.","Finance","Business Services"
"CADTU","DT Asia Investments Limited","Others","Others"
"CAKE","The Cheesecake Factory Incorporated","Consumer Services","Restaurants"
"CALA","Calithera Biosciences Inc.","Others","Others"
"CALD","Callidus Software Inc.","Technology","EDP Services"
"CALM","Cal-Maine Foods Inc.","Consumer Non-Durables","Farming/Seeds/Milling"
"CAMB","CAMBRIDGE CAPITAL ACQUISITION CORPORATION","Finance","Business Services"
"CAMBU","CAMBRIDGE CAPITAL ACQUISITION CORPORATION","Finance","Business Services"
"CAMBW","CAMBRIDGE CAPITAL ACQUISITION CORPORATION","Finance","Business Services"
"CAMP","CalAmp Corp.","Technology","Radio And Television Broadcasting And Communications Equipment"
"CAMT","Camtek Ltd.","Capital Goods","Electronic Components"
"CARA","Cara Therapeutics Inc.","Health Care","Major Pharmaceuticals"
"CARB","Carbonite Inc.","Technology","EDP Services"
"CASH","Meta Financial Group Inc.","Finance","Savings Institutions"
"CASY","Caseys General Stores Inc.","Consumer Durables","Automotive Aftermarket"
"CATM","Cardtronics Inc.","Miscellaneous","Business Services"
"CAVM","Cavium Inc.","Technology","Semiconductors"
"CBF","Capital Bank Financial Corp.","Finance","Major Banks"
"CBLI","Cleveland BioLabs Inc.","Health Care","Biotechnology: Commercial Physical & Biological Resarch"
"CBOE","CBOE Holdings Inc.","Finance","Investment Bankers/Brokers/Service"
"CBRL","Cracker Barrel Old Country Store Inc.","Consumer Services","Restaurants"
"CBRX","Columbia Laboratories Inc.","Health Care","Major Pharmaceuticals"
"CBST","Cubist Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"CCCR","China Commercial Credit Inc.","Finance","Major Banks"
"CCIH","ChinaCache International Holdings Ltd.","Technology","EDP Services"
"CCMP","Cabot Microelectronics Corporation","Technology","Semiconductors"
"CCRN","Cross Country Healthcare Inc.","Technology","Professional Services"
"CCXI","ChemoCentryx Inc.","Health Care","Major Pharmaceuticals"
"CDNA","CareDx Inc.","Health Care","Medical Specialities"
"CDW","CDW Corporation","Consumer Services","Catalog/Specialty Distribution"
"CDXS","Codexis Inc.","Basic Industries","Major Chemicals"
"CECO","Career Education Corporation","Consumer Services","Other Consumer Services"
"CELG","Celgene Corporation","Health Care","Major Pharmaceuticals"
"CEMP","Cempra Inc.","Health Care","Major Pharmaceuticals"
"CENT","Central Garden & Pet Company","Consumer Durables","Consumer Specialties"
"CENX","Century Aluminum Company","Basic Industries","Aluminum"
"CERE","Ceres Inc.","Consumer Non-Durables","Farming/Seeds/Milling"
"CERN","Cerner Corporation","Technology","EDP Services"
"CERS","Cerus Corporation","Health Care","Medical/Dental Instruments"
"CERU","Cerulean Pharma Inc.","Health Care","Major Pharmaceuticals"
"CETV","Central European Media Enterprises Ltd.","Consumer Services","Broadcasting"
"CFNL","Cardinal Financial Corporation","Finance","Major Banks"
"CFRX","ContraFect Corporation","Others","Others"
"CFRXW","ContraFect Corporation","Others","Others"
"CFRXZ","ContraFect Corporation","Others","Others"
"CG","The Carlyle Group L.P.","Finance","Investment Managers"
"CGEN","Compugen Ltd.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"CGNX","Cognex Corporation","Capital Goods","Industrial Machinery/Components"
"CGO","Calamos Global Total Return Fund","Others","Others"
"CHCI","Comstock Holding Companies Inc.","Capital Goods","Homebuilding"
"CHEF","The Chefs&#39; Warehouse Inc.","Consumer Non-Durables","Food Distributors"
"CHEV","Cheviot Financial Corp","Finance","Savings Institutions"
"CHFN","Charter Financial Corp.","Finance","Savings Institutions"
"CHI","Calamos Convertible Opportunities and Income Fund","Others","Others"
"CHKP","Check Point Software Technologies Ltd.","Technology","Computer Software: Prepackaged Software"
"CHRW","C.H. Robinson Worldwide Inc.","Transportation","Oil Refining/Marketing"
"CHUY","Chuy&#39;s Holdings Inc.","Consumer Services","Restaurants"
"CHW","Calamos Global Dynamic Income Fund","Others","Others"
"CHY","Calamos Convertible and High Income Fund","Others","Others"
"CIMT","Cimatron Limited","Technology","EDP Services"
"CISAW","CIS Acquisition Ltd.","Finance","Business Services"
"CISG","CNinsure Inc.","Finance","Specialty Insurers"
"CKSW","ClickSoftware Technologies Ltd.","Technology","Computer Software: Prepackaged Software"
"CLAC","Capitol Acquisition Corp. II","Finance","Business Services"
"CLACU","Capitol Acquisition Corp. II","Finance","Business Services"
"CLACW","Capitol Acquisition Corp. II","Finance","Business Services"
"CLCT","Collectors Universe Inc.","Miscellaneous","Business Services"
"CLDN","Celladon Corporation","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"CLIR","ClearSign Combustion Corporation","Capital Goods","Industrial Machinery/Components"
"CLMS","Calamos Asset Management Inc.","Finance","Investment Bankers/Brokers/Service"
"CLMT","Calumet Specialty Products Partners L.P.","Energy","Integrated oil Companies"
"CLNE","Clean Energy Fuels Corp.","Public Utilities","Natural Gas Distribution"
"CLUB","Town Sports International Holdings Inc.","Consumer Services","Hotels/Resorts"
"CLVS","Clovis Oncology Inc.","Health Care","Major Pharmaceuticals"
"CLWT","Euro Tech Holdings Company Limited","Consumer Durables","Diversified Electronic Products"
"CMCO","Columbus McKinnon Corporation","Capital Goods","Construction/Ag Equipment/Trucks"
"CME","CME Group Inc.","Finance","Investment Bankers/Brokers/Service"
"CMFN","CM Finance Inc","Others","Others"
"CMLS","Cumulus Media Inc.","Consumer Services","Broadcasting"
"CMRX","Chimerix Inc.","Health Care","Major Pharmaceuticals"
"CNAT","Conatus Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"CNBKA","Century Bancorp Inc.","Finance","Major Banks"
"CNCE","Concert Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"CNMD","CONMED Corporation","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus"
"CNQR","Concur Technologies Inc.","Technology","Computer Software: Prepackaged Software"
"CNSL","Consolidated Communications Holdings Inc.","Public Utilities","Telecommunications Equipment"
"CNTF","China TechFaith Wireless Communication Technology Limited","Miscellaneous","Business Services"
"COBZ","CoBiz Financial Inc.","Finance","Major Banks"
"COCO","Corinthian Colleges Inc.","Consumer Services","Other Consumer Services"
"COKE","Coca-Cola Bottling Co. Consolidated","Consumer Non-Durables","Beverages (Production/Distribution)"
"COLB","Columbia Banking System Inc.","Finance","Major Banks"
"COLM","Columbia Sportswear Company","Consumer Non-Durables","Apparel"
"COMM","CommScope Holding Company Inc.","Technology","Radio And Television Broadcasting And Communications Equipment"
"CONE","CyrusOne Inc","Consumer Services","Real Estate Investment Trusts"
"CONN","Conn&#39;s Inc.","Consumer Services","Consumer Electronics/Video Chains"
"CORI","Corium International Inc.","Health Care","Major Pharmaceuticals"
"CORT","Corcept Therapeutics Incorporated","Health Care","Major Pharmaceuticals"
"COSI","Cosi Inc.","Consumer Services","Restaurants"
"COVS","Covisint Corporation","Technology","EDP Services"
"CPGI","China Shengda Packaging Group Inc.","Consumer Durables","Containers/Packaging"
"CPHD","CEPHEID","Capital Goods","Biotechnology: Laboratory Analytical Instruments"
"CPIX","Cumberland Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"CPLA","Capella Education Company","Consumer Services","Other Consumer Services"
"CPLP","Capital Product Partners L.P.","Transportation","Marine Transportation"
"CPRT","Copart Inc.","Consumer Durables","Automotive Aftermarket"
"CPRX","Catalyst Pharmaceutical Partners Inc.","Health Care","Major Pharmaceuticals"
"CPSI","Computer Programs and Systems Inc.","Technology","EDP Services"
"CPSS","Consumer Portfolio Services Inc.","Finance","Finance: Consumer Services"
"CPST","Capstone Turbine Corporation","Energy","Industrial Machinery/Components"
"CPTA","Capitala Finance Corp.","Others","Others"
"CPWR","Compuware Corporation","Technology","Computer Software: Prepackaged Software"
"CRAI","CRA InternationalInc.","Miscellaneous","Other Consumer Services"
"CRDC","Cardica Inc.","Health Care","Medical/Dental Instruments"
"CRDS","Crossroads Systems Inc.","Technology","Computer peripheral equipment"
"CREE","Cree Inc.","Technology","Semiconductors"
"CRESY","Cresud S.A.C.I.F. y A.","Finance","Real Estate"
"CROX","Crocs Inc.","Consumer Non-Durables","Shoe Manufacturing"
"CRTO","Criteo S.A.","Technology","Advertising"
"CRUS","Cirrus Logic Inc.","Technology","Semiconductors"
"CRWN","Crown Media Holdings Inc.","Consumer Services","Television Services"
"CRZO","Carrizo Oil & Gas Inc.","Energy","Oil & Gas Production"
"CSCD","Cascade Microtech Inc.","Capital Goods","Electrical Products"
"CSCO","Cisco Systems Inc.","Technology","Computer Communications Equipment"
"CSGP","CoStar Group Inc.","Miscellaneous","Business Services"
"CSGS","CSG Systems International Inc.","Technology","EDP Services"
"CSII","Cardiovascular Systems Inc.","Health Care","Medical/Dental Instruments"
"CSIQ","Canadian Solar Inc.","Technology","Semiconductors"
"CSOD","Cornerstone OnDemand Inc.","Technology","Computer Software: Prepackaged Software"
"CSPI","CSP Inc.","Technology","EDP Services"
"CSQ","Calamos Strategic Total Return Fund","Others","Others"
"CSTE","CaesarStone Sdot-Yam Ltd.","Capital Goods","Building Materials"
"CSUN","China Sunergy Co. Ltd.","Technology","Semiconductors"
"CTAS","Cintas Corporation","Consumer Non-Durables","Apparel"
"CTCM","CTC Media Inc.","Consumer Services","Broadcasting"
"CTCT","Constant Contact Inc.","Technology","Advertising"
"CTHR","Charles & Colvard Ltd","Consumer Durables","Consumer Specialties"
"CTIB","CTI Industries Corporation","Basic Industries","Specialty Chemicals"
"CTIC","CTI BioPharma Corp.","Health Care","Major Pharmaceuticals"
"CTRL","Control4 Corporation","Capital Goods","Electrical Products"
"CTRN","Citi Trends Inc.","Consumer Services","Clothing/Shoe/Accessory Stores"
"CTRP","Ctrip.com International Ltd.","Miscellaneous","Business Services"
"CTSH","Cognizant Technology Solutions Corporation","Technology","EDP Services"
"CTXS","Citrix Systems Inc.","Technology","Computer Software: Prepackaged Software"
