"Symbol","Companies","Sector","Industry"
"CUTR","Cutera Inc.","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus"
"CVGI","Commercial Vehicle Group Inc.","Capital Goods","Auto Parts:O.E.M."
"CVLT","CommVault Systems Inc.","Technology","Computer Software: Prepackaged Software"
"CVTI","Covenant Transportation Group Inc.","Transportation","Trucking Freight/Courier Services"
"CWAY","Coastway Bancorp Inc.","Finance","Savings Institutions"
"CWST","Casella Waste Systems Inc.","Public Utilities","Environmental Services"
"CY","Cypress Semiconductor Corporation","Technology","Semiconductors"
"CYBE","CyberOptics Corporation","Capital Goods","Electronic Components"
"CYBR","CyberArk Software Ltd.","Others","Others"
"CYBX","Cyberonics Inc.","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus"
"CYNO","Cynosure Inc.","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus"
"CYOU","Changyou.com Limited","Technology","Computer Software: Prepackaged Software"
"CYTK","Cytokinetics Incorporated","Health Care","Major Pharmaceuticals"
"CYTR","CytRx Corporation","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"CZR","Caesars Entertainment Corporation","Consumer Services","Hotels/Resorts"
"DAIO","Data I/O Corporation","Capital Goods","Electrical Products"
"DAKT","Daktronics Inc.","Consumer Durables","Miscellaneous manufacturing industries"
"DATE","Jiayuan.com International Ltd.","Technology","EDP Services"
"DCTH","Delcath Systems Inc.","Health Care","Medical/Dental Instruments"
"DERM","Dermira Inc.","Others","Others"
"DFRG","Del Frisco&#39;s Restaurant Group Inc.","Consumer Services","Restaurants"
"DGAS","Delta Natural Gas Company Inc.","Public Utilities","Oil & Gas Production"
"DGICB","Donegal Group Inc.","Finance","Property-Casualty Insurers"
"DGII","Digi International Inc.","Technology","Computer Communications Equipment"
"DHRM","Dehaier Medical Systems Limited","Health Care","Medical/Dental Instruments"
"DISH","DISH Network Corporation","Consumer Services","Television Services"
"DLNG","Dynagas LNG Partners LP","Consumer Services","Marine Transportation"
"DLTR","Dollar Tree Inc.","Consumer Services","Department/Specialty Retail Stores"
"DMND","Diamond Foods Inc.","Consumer Non-Durables","Packaged Foods"
"DNDN","Dendreon Corporation","Health Care","Major Pharmaceuticals"
"DNKN","Dunkin&#39; Brands Group Inc.","Consumer Services","Restaurants"
"DOVR","Dover Saddlery Inc.","Consumer Services","Other Specialty Stores"
"DPRX","Dipexium Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"DRAD","Digirad Corporation","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus"
"DRIV","Digital River Inc.","Technology","Retail: Computer Software & Peripheral Equipment"
"DRNA","Dicerna Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"DRRX","Durect Corporation","Health Care","Major Pharmaceuticals"
"DRTX","Durata Therapeutics Inc.","Health Care","Major Pharmaceuticals"
"DRWI","DragonWave Inc","Public Utilities","Telecommunications Equipment"
"DRYS","DryShips Inc.","Transportation","Marine Transportation"
"DSKY","iDreamSky Technology Limited","Technology","Computer Software: Prepackaged Software"
"DSPG","DSP Group Inc.","Technology","Semiconductors"
"DSWL","Deswell Industries Inc.","Consumer Non-Durables","Plastic Products"
"DTLK","Datalink Corporation","Technology","EDP Services"
"DTSI","DTS Inc.","Miscellaneous","Multi-Sector Companies"
"DVAX","Dynavax Technologies Corporation","Health Care","Major Pharmaceuticals"
"DWA","Dreamworks Animation SKG Inc.","Consumer Services","Movies/Entertainment"
"DWCH","Datawatch Corporation","Technology","Computer Software: Prepackaged Software"
"DWSN","Dawson Geophysical Company","Energy","Oil & Gas Production"
"DXCM","DexCom Inc.","Health Care","Medical/Dental Instruments"
"DYAX","Dyax Corp.","Health Care","Biotechnology: Commercial Physical & Biological Resarch"
"EAC           ","Erickson Incorporated","Capital Goods","Aerospace"
"EAGL","Silver Eagle Acquisition Corp.","Finance","Business Services"
"EAGLU","Silver Eagle Acquisition Corp.","Finance","Business Services"
"EAGLW","Silver Eagle Acquisition Corp.","Finance","Business Services"
"EARS","Auris Medical Holding AG","Health Care","Major Pharmaceuticals"
"EBAY","eBay Inc.","Miscellaneous","Business Services"
"EBIO","Eleven Biotherapeutics Inc.","Health Care","Major Pharmaceuticals"
"ECHO","Echo Global Logistics Inc.","Transportation","Oil Refining/Marketing"
"ECYT","Endocyte Inc.","Health Care","Major Pharmaceuticals"
"EDAP","EDAP TMS S.A.","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus"
"EDMC","Education Management Corporation","Consumer Services","Other Consumer Services"
"EEFT","Euronet Worldwide Inc.","Finance","Investment Bankers/Brokers/Service"
"EEI","Ecology and Environment Inc.","Consumer Services","Military/Government/Technical"
"EFII","Electronics for Imaging Inc.","Technology","Computer Communications Equipment"
"EGAN","eGain Corporation","Technology","Computer Software: Prepackaged Software"
"EGLE","Eagle Bulk Shipping Inc.","Transportation","Marine Transportation"
"EGLT","Egalet Corporation","Health Care","Major Pharmaceuticals"
"EGOV","NIC Inc.","Consumer Services","Professional Services"
"EGRX","Eagle Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"EHTH","eHealth Inc.","Finance","Specialty Insurers"
"EIGI","Endurance International Group Holdings Inc.","Technology","Computer Software: Prepackaged Software"
"ELON","Echelon Corporation","Technology","Computer Communications Equipment"
"ELOS","Syneron Medical Ltd.","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus"
"ELTK","Eltek Ltd.","Technology","Electrical Products"
"EMCI","EMC Insurance Group Inc.","Finance","Property-Casualty Insurers"
"EMKR","EMCORE Corporation","Technology","Semiconductors"
"EMMS","Emmis Communications Corporation","Consumer Services","Broadcasting"
"ENFC","Entegra Financial Corp.","Others","Others"
"ENOC","EnerNOC Inc.","Technology","Computer Software: Programming/ Data Processing"
"ENPH","Enphase Energy Inc.","Technology","Semiconductors"
"ENSG","The Ensign Group Inc.","Health Care","Hospital/Nursing Management"
"ENT","Global Eagle Entertainment Inc.","Consumer Services","Telecommunications Equipment"
"ENTA","Enanta Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"ENTG","Entegris Inc.","Consumer Non-Durables","Plastic Products"
"ENTR","Entropic Communications Inc.","Technology","Semiconductors"
"ENVI","Envivio Inc.","Technology","Radio And Television Broadcasting And Communications Equipment"
"ENZN","Enzon Pharmaceuticals Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"ENZY          ","Enzymotec Ltd.","Consumer Durables","Specialty Chemicals"
"EOPN","E2open Inc.","Technology","Computer Software: Prepackaged Software"
"EPAY","Bottomline Technologies Inc.","Technology","Computer Software: Prepackaged Software"
"EPIQ","EPIQ Systems Inc.","Technology","EDP Services"
"EPZM","Epizyme Inc.","Health Care","Major Pharmaceuticals"
"EQIX","Equinix Inc.","Public Utilities","Telecommunications Equipment"
"ERII","Energy Recovery Inc.","Technology","Industrial Machinery/Components"
"EROC","Eagle Rock Energy Partners L.P.","Energy","Oil & Gas Production"
"ESPR","Esperion Therapeutics Inc.","Health Care","Major Pharmaceuticals"
"ESRX","Express Scripts Holding Company","Health Care","Medical/Nursing Services"
"ETRM","EnteroMedics Inc.","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus"
"EVAR","Lombard Medical Inc.","Health Care","Medical/Dental Instruments"
"EVEP","EV Energy Partners L.P.","Energy","Oil & Gas Production"
"EVOK","Evoke Pharma Inc.","Health Care","Major Pharmaceuticals"
"EVOL","Evolving Systems Inc.","Technology","EDP Services"
"EVRY","EveryWare Global Inc.","Consumer Durables","Home Furnishings"
"EXA","Exa Corporation","Technology","Computer Software: Prepackaged Software"
"EXAC","Exactech Inc.","Health Care","Industrial Specialties"
"EXAS","EXACT Sciences Corporation","Health Care","Biotechnology: Commercial Physical & Biological Resarch"
"EXEL","Exelixis Inc.","Health Care","Biotechnology: Commercial Physical & Biological Resarch"
"EXLS","ExlService Holdings Inc.","Miscellaneous","Business Services"
"EXTR","Extreme Networks Inc.","Technology","Computer Communications Equipment"
"EZPW","EZCORP Inc.","Consumer Services","Other Specialty Stores"
"FANG","Diamondback Energy Inc.","Energy","Oil & Gas Production"
"FARO","FARO Technologies Inc.","Capital Goods","Industrial Machinery/Components"
"FAST","Fastenal Company","Consumer Services","RETAIL: Building Materials"
"FATE","Fate Therapeutics Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"FB","Facebook Inc.","Technology","Computer Software: Programming/ Data Processing"
"FBNC","First Bancorp","Finance","Major Banks"
"FBNK","First Connecticut Bancorp Inc.","Finance","Banks"
"FCFS","First Cash Financial Services Inc.","Consumer Services","Other Specialty Stores"
"FCS","Fairchild Semiconductor International Inc.","Technology","Semiconductors"
"FCVA","First Capital Bancorp Inc. (VA)","Finance","Major Banks"
"FDUS","Fidus Investment Corporation","Others","Others"
"FEIC","FEI Company","Capital Goods","Biotechnology: Laboratory Analytical Instruments"
"FEYE","FireEye Inc.","Technology","Computer peripheral equipment"
"FFHL","Fuwei Films (Holdings) Co. Ltd.","Capital Goods","Specialty Chemicals"
"FFIV","F5 Networks Inc.","Technology","Computer Communications Equipment"
"FIBK","First Interstate BancSystem Inc.","Finance","Major Banks"
"FINL","The Finish Line Inc.","Consumer Services","Clothing/Shoe/Accessory Stores"
"FISH","Marlin Midstream Partners LP","Public Utilities","Natural Gas Distribution"
"FISI","Financial Institutions Inc.","Finance","Major Banks"
"FISV","Fiserv Inc.","Technology","EDP Services"
"FIVE","Five Below Inc.","Consumer Services","Department/Specialty Retail Stores"
"FIVN","Five9 Inc.","Technology","EDP Services"
"FLDM","Fluidigm Corporation","Capital Goods","Biotechnology: Laboratory Analytical Instruments"
"FLEX","Flextronics International Ltd.","Technology","Electrical Products"
"FLIR","FLIR Systems Inc.","Capital Goods","Industrial Machinery/Components"
"FLML","Flamel Technologies S.A.","Health Care","Major Pharmaceuticals"
"FLWS","1-800 FLOWERS.COM Inc.","Consumer Services","Other Specialty Stores"
"FLXN","Flexion Therapeutics Inc.","Health Care","Major Pharmaceuticals"
"FMI","Foundation Medicine Inc.","Health Care","Medical Specialities"
"FNGN","Financial Engines Inc.","Finance","Investment Managers"
"FNSR","Finisar Corporation","Technology","Semiconductors"
"FOLD","Amicus Therapeutics Inc.","Health Care","Major Pharmaceuticals"
"FOMX","Foamix Pharmaceuticals Ltd.","Others","Others"
"FONR","Fonar Corporation","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus"
"FORM","FormFactor Inc.","Technology","Semiconductors"
"FORR","Forrester Research Inc.","Consumer Services","Diversified Commercial Services"
"FOSL","Fossil Group Inc.","Consumer Non-Durables","Consumer Specialties"
"FOXF","Fox Factory Holding Corp.","Consumer Non-Durables","Motor Vehicles"
"FPRX","Five Prime Therapeutics Inc.","Health Care","Major Pharmaceuticals"
"FRAN","Francesca&#39;s Holdings Corporation","Consumer Services","Clothing/Shoe/Accessory Stores"
"FRBA","First Bank","Others","Others"
"FRED","Fred&#39;s Inc.","Consumer Services","Department/Specialty Retail Stores"
"FRNK","Franklin Financial Corporation","Finance","Savings Institutions"
"FRSH","Papa Murphy&#39;s Holdings Inc.","Consumer Services","Restaurants"
"FSBW","FS Bancorp Inc.","Finance","Banks"
"FSC","Fifth Street Finance Corp.","Others","Others"
"FSFR","Fifth Street Senior Floating Rate Corp.","Others","Others"
"FSGI","First Security Group Inc.","Finance","Major Banks"
"FSLR","First Solar Inc.","Technology","Semiconductors"
"FTNT","Fortinet Inc.","Technology","Computer peripheral equipment"
"FUEL","Rocket Fuel Inc.","Technology","Computer Software: Programming/ Data Processing"
"FULL","Full Circle Capital Corporation","Others","Others"
"FWM","Fairway Group Holdings Corp.","Consumer Services","Food Chains"
"GAGA","Le Gaga Holdings Limited","Consumer Non-Durables","Farming/Seeds/Milling"
"GAIA","Gaiam Inc.","Consumer Services","Movies/Entertainment"
"GAIN","Gladstone Investment Corporation","Others","Others"
"GARS","Garrison Capital Inc.","Others","Others"
"GASS","StealthGas Inc.","Transportation","Marine Transportation"
"GBDC","Golub Capital BDC Inc.","Others","Others"
"GBIM","GlobeImmune Inc.","Health Care","Major Pharmaceuticals"
"GBSN","Great Basin Scientific Inc.","Others","Others"
"GDEF","Global Defense & National Security Systems Inc.","Finance","Business Services"
"GERN","Geron Corporation","Health Care","Major Pharmaceuticals"
"GEVO","Gevo Inc.","Basic Industries","Major Chemicals"
"GGAC","Garnero Group Acquisition Company","Finance","Business Services"
"GGACR","Garnero Group Acquisition Company","Finance","Business Services"
"GGACU","Garnero Group Acquisition Company","Finance","Business Services"
"GGACW","Garnero Group Acquisition Company","Finance","Business Services"
"GHDX","Genomic Health Inc.","Health Care","Medical Specialities"
"GIFI","Gulf Island Fabrication Inc.","Capital Goods","Metal Fabrications"
"GIGA","Giga-tronics Incorporated","Capital Goods","Electrical Products"
"GIII","G-III Apparel Group LTD.","Consumer Non-Durables","Apparel"
"GILD","Gilead Sciences Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"GLAD","Gladstone Capital Corporation","Others","Others"
"GLMD","Galmed Pharmaceuticals Ltd.","Health Care","Major Pharmaceuticals"
"GLRE","Greenlight Reinsurance Ltd.","Finance","Property-Casualty Insurers"
"GLUU","Glu Mobile Inc.","Technology","EDP Services"
"GLYC","GlycoMimetics Inc.","Health Care","Major Pharmaceuticals"
"GMAN","Gordmans Stores Inc.","Consumer Services","Clothing/Shoe/Accessory Stores"
"GMCR","Keurig Green Mountain Inc.","Consumer Non-Durables","Packaged Foods"
"GMLP","Golar LNG Partners LP","Consumer Services","Marine Transportation"
"GNBC","Green Bancorp Inc.","Finance","Major Banks"
"GNCA","Genocea Biosciences Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"GNMK","GenMark Diagnostics Inc.","Health Care","Medical/Dental Instruments"
"GNVC","GenVec Inc.","Health Care","Major Pharmaceuticals"
"GOGO","Gogo Inc.","Consumer Services","Telecommunications Equipment"
"GOMO","Sungy Mobile Limited","Technology","Computer Software: Prepackaged Software"
"GOOD","Gladstone Commercial Corporation","Consumer Services","Real Estate"
"GOOG","Google Inc.","Technology","Computer Software: Programming/ Data Processing"
"GPRO","GoPro Inc.","Miscellaneous","Industrial Machinery/Components"
"GRMN","Garmin Ltd.","Capital Goods","Industrial Machinery/Components"
"GRPN","Groupon Inc.","Technology","Advertising"
"GRVY","GRAVITY Co. Ltd.","Miscellaneous","Business Services"
"GSBC","Great Southern Bancorp Inc.","Finance","Major Banks"
"GSIT","GSI Technology Inc.","Technology","Semiconductors"
"GSJK","Compressco Partners L.P.","Energy","Oilfield Services/Equipment"
"GSM","Globe Specialty Metals Inc.","Capital Goods","Metal Fabrications"
"GSVC","GSV Capital Corp","Others","Others"
"GTLS","Chart Industries Inc.","Capital Goods","Metal Fabrications"
"GTXI","GTx Inc.","Health Care","Major Pharmaceuticals"
"GUID","Guidance Software Inc.","Technology","Computer Software: Prepackaged Software"
"GWGH","GWG Holdings Inc","Others","Others"
"GWPH","GW Pharmaceuticals Plc","Health Care","Major Pharmaceuticals"
"HAWK","Blackhawk Network Holdings Inc.","Finance","Finance: Consumer Services"
"HAYN","Haynes International Inc.","Capital Goods","Steel/Iron Ore"
"HBIO","Harvard Bioscience Inc.","Others","Others"
"HBK","Hamilton Bancorp Inc.","Finance","Savings Institutions"
"HCAC","Hennessy Capital Acquisition Corp.","Finance","Business Services"
"HCACU","Hennessy Capital Acquisition Corp.","Finance","Investment Managers"
"HCACW","Hennessy Capital Acquisition Corp.","Finance","Business Services"
"HCAP","Harvest Capital Credit Corporation","Others","Others"
"HCCI","Heritage-Crystal Clean Inc.","Basic Industries","Miscellaneous"
"HCSG","Healthcare Services Group Inc.","Finance","Diversified Commercial Services"
"HDNG","Hardinge Inc.","Capital Goods","Industrial Machinery/Components"
"HDS","HD Supply Holdings Inc.","Consumer Services","Office Equipment/Supplies/Services"
"HEES","H&E Equipment Services Inc.","Others","Others"
"HERO","Hercules Offshore Inc.","Energy","Oil & Gas Production"
"HIBB","Hibbett Sports Inc.","Consumer Services","Other Specialty Stores"
"HIIQ","Health Insurance Innovations Inc.","Finance","Specialty Insurers"
"HIMX","Himax Technologies Inc.","Technology","Semiconductors"
"HLIT","Harmonic Inc.","Technology","Radio And Television Broadcasting And Communications Equipment"
"HLSS","Home Loan Servicing Solutions Ltd.","Finance","Finance: Consumer Services"
"HMHC","Houghton Mifflin Harcourt Company","Consumer Services","Books"
"HMST","HomeStreet Inc.","Finance","Banks"
"HMSY","HMS Holdings Corp","Miscellaneous","Business Services"
"HNSN","Hansen Medical Inc.","Health Care","Industrial Specialties"
"HOLX","Hologic Inc.","Health Care","Medical Electronics"
"HOMB","Home BancShares Inc.","Finance","Major Banks"
"HPTX","Hyperion Therapeutics Inc.","Health Care","Major Pharmaceuticals"
"HQY","HealthEquity Inc.","Miscellaneous","Business Services"
"HRZN","Horizon Technology Finance Corporation","Others","Others"
"HSIC","Henry Schein Inc.","Health Care","Medical Specialities"
"HSII","Heidrick & Struggles International Inc.","Technology","Diversified Commercial Services"
"HSKA","Heska Corporation","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"HSTM","HealthStream Inc.","Technology","Computer Software: Programming/ Data Processing"
"HTBI","HomeTrust Bancshares Inc.","Finance","Savings Institutions"
"HTBX","Heat Biologics Inc.","Health Care","Major Pharmaceuticals"
"HTCH","Hutchinson Technology Incorporated","Capital Goods","Industrial Machinery/Components"
"HTHT","China Lodging Group Limited","Consumer Services","Hotels/Resorts"
"HTLD","Heartland Express Inc.","Transportation","Trucking Freight/Courier Services"
"HTWO","HF2 Financial Management Inc.","Finance","Business Services"
"HUBG","Hub Group Inc.","Transportation","Oil Refining/Marketing"
"HURN","Huron Consulting Group Inc.","Consumer Services","Professional Services"
"HWCC","Houston Wire & Cable Company","Consumer Non-Durables","Telecommunications Equipment"
"HZNP","Horizon Pharma plc","Health Care","Major Pharmaceuticals"
"IBTX","Independent Bank Group Inc","Finance","Major Banks"
"ICCC","ImmuCell Corporation","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances"
"ICEL","Cellular Dynamics International Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"ICFI","ICF International Inc.","Consumer Services","Professional Services"
"ICLR","ICON plc","Health Care","Biotechnology: Commercial Physical & Biological Resarch"
"ICPT","Intercept Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"ICUI","ICU Medical Inc.","Health Care","Medical/Dental Instruments"
"IDSY","I.D. Systems Inc.","Consumer Durables","Telecommunications Equipment"
"IDTI","Integrated Device Technology Inc.","Technology","Semiconductors"
"IDXX","IDEXX Laboratories Inc.","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances"
"IGLD","Internet Gold Golden Lines Ltd.","Public Utilities","Telecommunications Equipment"
"IIVI","II-VI Incorporated","Capital Goods","Electronic Components"
"IKAN","Ikanos Communications Inc.","Public Utilities","Telecommunications Equipment"
"ILMN","Illumina Inc.","Capital Goods","Biotechnology: Laboratory Analytical Instruments"
"IMDZ","Immune Design Corp.","Health Care","Major Pharmaceuticals"
"IMGN","ImmunoGen Inc.","Health Care","Major Pharmaceuticals"
"IMI","Intermolecular Inc.","Technology","Semiconductors"
"IMKTA","Ingles Markets Incorporated","Consumer Services","Food Chains"
"IMMR","Immersion Corporation","Technology","Computer peripheral equipment"
"INAP","Internap Network Services Corporation","Technology","Computer Software: Programming/ Data Processing"
"INFA","Informatica Corporation","Technology","Computer Software: Prepackaged Software"
"INFN","Infinera Corporation","Public Utilities","Telecommunications Equipment"
"INGN","Inogen Inc","Health Care","Industrial Specialties"
"ININ","Interactive Intelligence Group Inc.","Technology","Computer Software: Prepackaged Software"
"INNL","Innocoll AG","Health Care","Major Pharmaceuticals"
"INOD","Innodata Inc.","Technology","EDP Services"
"INPH","Interphase Corporation","Technology","Computer Communications Equipment"
"INSY","Insys Therapeutics Inc.","Health Care","Major Pharmaceuticals"
"INTU","Intuit Inc.","Technology","Computer Software: Prepackaged Software"
"INTX","Intersections Inc.","Technology","EDP Services"
"INWK","InnerWorkings Inc.","Consumer Durables","Containers/Packaging"
"IPAS","iPass Inc.","Technology","EDP Services"
"IPCC","Infinity Property and Casualty Corporation","Finance","Property-Casualty Insurers"
"IPCM","IPC The Hospitalist Company Inc.","Health Care","Hospital/Nursing Management"
"IPDN","Professional Diversity Network Inc.","Technology","Computer Software: Programming/ Data Processing"
"IPGP","IPG Photonics Corporation","Technology","Semiconductors"
"IPHS","Innophos Holdings Inc.","Consumer Durables","Specialty Chemicals"
"IPWR","Ideal Power Inc.","Energy","Industrial Machinery/Components"
"IRBT","iRobot Corporation","Consumer Durables","Consumer Electronics/Appliances"
"IRG","Ignite Restaurant Group Inc.","Consumer Services","Restaurants"
"IRIX","IRIDEX Corporation","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus"
"IRMD","iRadimed Corporation","Others","Others"
"IROQ","IF Bancorp Inc.","Finance","Savings Institutions"
"IRWD","Ironwood Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"ISCA","International Speedway Corporation","Consumer Services","Services-Misc. Amusement & Recreation"
"ISIG","Insignia Systems Inc.","Consumer Services","Advertising"
"ISIL","Intersil Corporation","Technology","Semiconductors"
"ISIS","Isis Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"ISNS","Image Sensing Systems Inc.","Capital Goods","Industrial Machinery/Components"
"ISRG","Intuitive Surgical Inc.","Health Care","Industrial Specialties"
"ISRL","Isramco Inc.","Energy","Oil & Gas Production"
"ISSC","Innovative Solutions and Support Inc.","Technology","EDP Services"
"ISSI","Integrated Silicon Solution Inc.","Technology","Semiconductors"
"ISTR","Investar Holding Corporation","Finance","Major Banks"
"ITRI","Itron Inc.","Capital Goods","Electrical Products"
"ITRN","Ituran Location and Control Ltd.","Consumer Non-Durables","Electronic Components"
"IVAC","Intevac Inc.","Technology","Industrial Machinery/Components"
"JACQU","COLLABRIUM JAPAN ACQUISITION CORPORATION","Finance","Business Services"
"JAKK","JAKKS Pacific Inc.","Consumer Non-Durables","Recreational Products/Toys"
"JASN","Jason Industries Inc.","Consumer Durables","Miscellaneous manufacturing industries"
"JASNW","Jason Industries Inc.","Consumer Durables","Miscellaneous manufacturing industries"
"JASO","JA Solar Holdings Co. Ltd.","Technology","Semiconductors"
"JAZZ","Jazz Pharmaceuticals plc","Health Care","Major Pharmaceuticals"
"JBLU","JetBlue Airways Corporation","Transportation","Air Freight/Delivery Services"
"JBSS","John B. Sanfilippo & Son Inc.","Consumer Non-Durables","Specialty Foods"
"JCOM","j2 Global Inc.","Technology","Telecommunications Equipment"
"JD","JD.com Inc.","Consumer Services","Other Specialty Stores"
"JIVE","Jive Software Inc.","Technology","EDP Services"
"JJSF","J & J Snack Foods Corp.","Consumer Non-Durables","Specialty Foods"
"JKHY","Jack Henry & Associates Inc.","Technology","EDP Services"
"JOBS","51job Inc.","Technology","Diversified Commercial Services"
"JRJC","China Finance Online Co. Limited","Miscellaneous","Business Services"
"JST","Jinpan International Limited","Consumer Durables","Electrical Products"
"JTPY","JetPay Corporation","Finance","Business Services"
